Rep,Clf,MeanF1,StdF1
word2vec,RandomForestClassifier,0.9290852449730954,0.028706154774181772
word2vec,LogisticRegression,0.9200226564712546,0.03395630362212395
word2vec,KNeighborsClassifier,0.9084395355423392,0.027395043197753988
doc2vec,RandomForestClassifier,0.8696120079297648,0.01886125717728852
doc2vec,LogisticRegression,0.8532143868592467,0.026781695641906213
doc2vec,KNeighborsClassifier,0.8654772019258001,0.02050281558919973
fasttext,RandomForestClassifier,0.9466156896063438,0.020766543858286253
fasttext,LogisticRegression,0.9310676862078733,0.030713597238288138
fasttext,KNeighborsClassifier,0.9262815066553383,0.01966326052550301
tfidf,RandomForestClassifier,0.9397621070518266,0.024077764430261453
tfidf,LogisticRegression,0.9391107335032569,0.02287683123452466
tfidf,KNeighborsClassifier,0.8877088643443785,0.020114996193306565
